127.0.0.1 - - [23/Aug/2020:13:12:07 +0200] "GET / HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/Aug/2020:13:12:09 +0200] "GET /Hausvermietung/index.jsp HTTP/1.1" 200 2969
0:0:0:0:0:0:0:1 - - [23/Aug/2020:13:12:09 +0200] "GET /Hausvermietung/style.css HTTP/1.1" 200 11647
0:0:0:0:0:0:0:1 - - [23/Aug/2020:13:12:17 +0200] "GET /Hausvermietung/index.jsp HTTP/1.1" 200 2969
0:0:0:0:0:0:0:1 - - [23/Aug/2020:13:12:17 +0200] "GET /Hausvermietung/style.css HTTP/1.1" 200 11647
0:0:0:0:0:0:0:1 - - [23/Aug/2020:13:12:17 +0200] "GET /favicon.ico HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [23/Aug/2020:13:12:30 +0200] "GET /Hausvermietung/login.jsp HTTP/1.1" 200 1545
0:0:0:0:0:0:0:1 - - [23/Aug/2020:13:12:30 +0200] "GET /Hausvermietung/ProfilValidationServlet HTTP/1.1" 200 1545
0:0:0:0:0:0:0:1 - - [23/Aug/2020:13:12:31 +0200] "GET /Hausvermietung/ProfilValidationServlet HTTP/1.1" 200 1545
0:0:0:0:0:0:0:1 - - [23/Aug/2020:13:12:32 +0200] "GET /Hausvermietung/login.jsp HTTP/1.1" 200 1545
0:0:0:0:0:0:0:1 - - [23/Aug/2020:13:12:32 +0200] "GET /Hausvermietung/registration.jsp HTTP/1.1" 200 1701
0:0:0:0:0:0:0:1 - - [23/Aug/2020:13:12:33 +0200] "GET /Hausvermietung/login.jsp HTTP/1.1" 200 1545
0:0:0:0:0:0:0:1 - - [23/Aug/2020:13:12:33 +0200] "GET /Hausvermietung/ProfilValidationServlet HTTP/1.1" 200 1545
0:0:0:0:0:0:0:1 - - [23/Aug/2020:13:12:34 +0200] "GET /Hausvermietung/login.jsp HTTP/1.1" 200 1545
0:0:0:0:0:0:0:1 - - [23/Aug/2020:13:12:34 +0200] "GET /Hausvermietung/registration.jsp HTTP/1.1" 200 1701
0:0:0:0:0:0:0:1 - - [23/Aug/2020:13:12:35 +0200] "GET /Hausvermietung/login.jsp HTTP/1.1" 200 1545
0:0:0:0:0:0:0:1 - - [23/Aug/2020:13:12:35 +0200] "GET /Hausvermietung/ProfilValidationServlet HTTP/1.1" 200 1545
0:0:0:0:0:0:0:1 - - [23/Aug/2020:13:12:36 +0200] "GET /Hausvermietung/login.jsp HTTP/1.1" 200 1545
0:0:0:0:0:0:0:1 - - [23/Aug/2020:13:36:35 +0200] "GET /Hausvermietung/index.jsp HTTP/1.1" 200 2984
0:0:0:0:0:0:0:1 - - [23/Aug/2020:13:36:35 +0200] "GET /Hausvermietung/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:13:36:41 +0200] "GET /Hausvermietung/registration.jsp HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [23/Aug/2020:13:36:41 +0200] "GET /Hausvermietung/login.jsp HTTP/1.1" 200 1560
0:0:0:0:0:0:0:1 - - [23/Aug/2020:13:36:42 +0200] "GET /Hausvermietung/ProfilValidationServlet HTTP/1.1" 200 1560
0:0:0:0:0:0:0:1 - - [23/Aug/2020:13:36:42 +0200] "GET /Hausvermietung/login.jsp HTTP/1.1" 200 1560
0:0:0:0:0:0:0:1 - - [23/Aug/2020:13:36:43 +0200] "GET /Hausvermietung/index.jsp HTTP/1.1" 200 2984
0:0:0:0:0:0:0:1 - - [23/Aug/2020:13:37:04 +0200] "POST /Hausvermietung/FilterServlet HTTP/1.1" 200 1404
0:0:0:0:0:0:0:1 - - [23/Aug/2020:13:37:32 +0200] "GET /Hausvermietung/index.jsp HTTP/1.1" 200 2984
0:0:0:0:0:0:0:1 - - [23/Aug/2020:13:37:33 +0200] "POST /Hausvermietung/FilterServlet HTTP/1.1" 200 1404
0:0:0:0:0:0:0:1 - - [23/Aug/2020:13:37:34 +0200] "GET /Hausvermietung/index.jsp HTTP/1.1" 200 2984
0:0:0:0:0:0:0:1 - - [23/Aug/2020:13:38:43 +0200] "GET /Hausvermietung/ProfilValidationServlet HTTP/1.1" 200 1560
0:0:0:0:0:0:0:1 - - [23/Aug/2020:13:38:44 +0200] "POST /Hausvermietung/LoginServlet HTTP/1.1" 200 1404
0:0:0:0:0:0:0:1 - - [23/Aug/2020:13:38:45 +0200] "GET /Hausvermietung/ProfilValidationServlet HTTP/1.1" 200 1560
0:0:0:0:0:0:0:1 - - [23/Aug/2020:13:39:01 +0200] "GET /Hausvermietung/registration.jsp HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [23/Aug/2020:13:39:04 +0200] "GET /Hausvermietung/ProfilValidationServlet HTTP/1.1" 200 1560
0:0:0:0:0:0:0:1 - - [23/Aug/2020:13:39:05 +0200] "GET /Hausvermietung/registration.jsp HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [23/Aug/2020:13:39:19 +0200] "POST /Hausvermietung/RegistrationServlet HTTP/1.1" 200 1560
0:0:0:0:0:0:0:1 - - [23/Aug/2020:13:39:25 +0200] "POST /Hausvermietung/LoginServlet HTTP/1.1" 200 1404
0:0:0:0:0:0:0:1 - - [23/Aug/2020:13:39:25 +0200] "GET /Hausvermietung/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:13:39:26 +0200] "GET /Hausvermietung/ProfilValidationServlet HTTP/1.1" 200 1560
